,Network,User,Date,Text,Positive,Neutral,Negative,Compound
0,@CNN,MoRe,Wed Nov 01 04:01:52 +0000 2017,"@CNN Of course, no surprise, it's his nature.",0.204,0.583,0.214,-0.0258
1,@CNN,Evolutionology,Wed Nov 01 04:01:52 +0000 2017,"How EVOLVED are your views on Religion? Take the QUIZ and find out:
https://t.co/RpjEclehMY
@CNN @Foxnews https://t.co/tRA2DATuOm",0.0,1.0,0.0,0.0
2,@CNN,((BewareBelievers?)),Wed Nov 01 04:01:51 +0000 2017,"RT @Michell43913024: @CNN @mkraju Sarah Slanders tomorrow: ""The prez has been clear, HRC and BO and the Dems paid for Manafort's fake name…",0.097,0.787,0.116,-0.128
3,@CNN,DR,Wed Nov 01 04:01:50 +0000 2017,Horrified by ISIL influence in attack in NY. Are we horrified by alt-reality of trump admin? Fox? Same @nytimes @washingtonpost @cnn @msnbc,0.0,0.645,0.355,-0.8875
4,@CNN,shane benya,Wed Nov 01 04:01:50 +0000 2017,"RT @CNN: Former National Security Council employee: Russian President Vladimir Putin is engaging in ""information warfare"" https://t.co/TYgu…",0.229,0.667,0.105,0.3818
5,@CNN,Wendy Yandle,Wed Nov 01 04:01:49 +0000 2017,"RT @CNN: Paul Manafort has 3 US passports and traveled to Mexico, China and Ecuador with a phone registered under a fake name https://t.co/…",0.0,0.866,0.134,-0.4767
6,@CNN,Jack H Peripter,Wed Nov 01 04:01:48 +0000 2017,RT @CNN: US Supreme Court Justice Ruth Bader Ginsburg maintains she's not retiring https://t.co/Hj34AAJoNb https://t.co/hd8ALQlelT,0.35,0.65,0.0,0.7906
7,@CNN,C G G,Wed Nov 01 04:01:47 +0000 2017,RT @CNN: Fact check: Team Trump uses misinformation and inaccuracies in responding to the Mueller probe https://t.co/sYlRgEu376 https://t.c…,0.0,0.881,0.119,-0.3182
8,@CNN,M Mahathy,Wed Nov 01 04:01:45 +0000 2017,RT @LauraLoomer: This is why I shut @andersoncooper down tonight with fellow anti-#FakeNews New Yorkers. @CNN will never disavow Islamic te…,0.0,1.0,0.0,0.0
9,@CNN,Mark Wheatley,Wed Nov 01 04:01:45 +0000 2017,"RT @WalshFreedom: @CNN is lying again. They keep putting up on the screen that the terrorist yelled ""God is great!""

No. He yelled ""Allah A…",0.062,0.623,0.314,-0.8588
10,@CNN,Huh,Wed Nov 01 04:01:44 +0000 2017,"RT @CNN: Paul Manafort has 3 US passports and traveled to Mexico, China and Ecuador with a phone registered under a fake name https://t.co/…",0.0,0.866,0.134,-0.4767
11,@CNN,Oda Mae Brown,Wed Nov 01 04:01:43 +0000 2017,"RT @CNN: Paul Manafort has 3 US passports and traveled to Mexico, China and Ecuador with a phone registered under a fake name https://t.co/…",0.0,0.866,0.134,-0.4767
12,@CNN,Judith,Wed Nov 01 04:01:42 +0000 2017,"@CNN Now hear this. I watch news, but... https://t.co/WExijNtS5E",0.0,1.0,0.0,0.0
13,@CNN,harleygrl,Wed Nov 01 04:01:39 +0000 2017,RT @DrJaneRuby: Tonight @LauraLoomer did what many of us have dreamed of since the election: She called out #FakeNews @CNN @andersoncooper…,0.0,1.0,0.0,0.0
14,@CNN,Moshe Francis,Wed Nov 01 04:01:37 +0000 2017,@CNN  https://t.co/IR43igzzIB,0.0,1.0,0.0,0.0
